70,Tecno Spark 10 Pro RAM 8 GB ROM 128 GB front Camera 32 MP Back Camera 50 MP Battery Type5000 mAh,"Rs. 37,999",4.8,Free Delivery,95,92
71,INFINIX NOTE 30 - 8GB+8GB =16GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 46,799",4.8,Standard Delivery,96,56
72,"Infinix Hot 30 Play RAM 4 GB ROM 64 GB Front Camera 8 MP Back Camera 16 MP + QVGA Battery Type Li-Po 6000 mAh, non-removable","Rs. 29,980",4.7,Free Delivery,95,92
73,Infinix Smart 7 || 4GB + 3GB Ram 64GB Rom || 6.6 Inches HD + Sunlight Display || 5000 mAh- Fast charging 10W,"Rs. 25,999",4.8,Free Delivery,90,68
74,Xiaomi Redmi Note 12 - 8GB RAM 128GB/256GB ROM - 5000mAh Battery,"Rs. 51,999",4.5,Free Delivery,89,92
75,"Tecno Spark 10C , 4GB + 4GB Ram 128GB Rom , 6.6 Inches IPS Display 90Hz , 5000 mAh- Fast battery 18W wired","Rs. 30,499",4.5,Free Delivery,90,68
76,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 47,980",4.9,Standard Delivery,95,72
77,Infinix Hot 30 || 8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 39,999",4.5,Standard Delivery,88,93
78,Infinix Note 30 Pro - 6.67 Inch Display - 8GB + 8GB RAM - 256GB ROM,"Rs. 63,899",5,Free Delivery,85,79
79,"Tecno Spark Go 2023 , 4GB RAM 64GB ROM , Back Camera 13 MP , Fingersensor , 5000mAh Battery","Rs. 25,999",4.6,Standard Delivery,94,72
80,"Itel S23 , 8GB RAM 256GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 32,999",3,Standard Delivery,94,72
81,Original Vivo Y85 with Box & Charger - Dual Sim Approved - Vivo Y85a - 4GB RAM Mobile - Snapdragon Mobile,"Rs. 15,999",3.8,Free Delivery,92,98
82,"Redmi A2 Plus , 3GB Ram 4GB Rom , 6.5 Inches IPS Display , 5000 mAh - Battery","Rs. 19,999",4.8,Free Delivery,90,68
83,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 46,999",1,Free Delivery,New Seller,34
84,"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 95,000",5,Free Delivery,93,86
85,Redmi 12C || 4GB Ram 128GB Rom || 6.71 Inches IPS Display || 5000 mAh - Battery charging 10W wired,"Rs. 28,999",4.7,Free Delivery,90,68
86,"Redmi Note 12 Pro - 6.67"" Inch Display - 8GB RAM - 256GB ROM","Rs. 88,799",4,Free Delivery,85,79
87,"Infinix Hot 30 Play , 4GB RAM 64GB ROM , 16MP Main Camera , Fingersensor , 6000mAh Fast charging 18W","Rs. 31,999",4.8,Standard Delivery,94,72
88,"Tecno Camon 20 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 47,999",5,Free Delivery,87,25
89,"Redmi Note 12 - 6.67"" Inch Display - 8GB RAM - 128GB / 256GB ROM","Rs. 50,950",3.9,Free Delivery,85,79
90,"Vivo Y17s , 6GB Ram 128GB Rom , Mediatek Helio G85 , 6.56 Inches IPS Display , 5000 mAh- Fast battery 15W","Rs. 44,999",,Free Delivery,90,68
91,Tecno POVA 5 Pro 5G 256GB ROM + 8GB RAM 5000mAh Mega Battery Pta Approevd Official Brand Warranty,"Rs. 57,599",,Free Delivery,89,91
92,itel S23 6.6″ HD+ Display | Up to 16+128GB Storage with Memory Fusion | Color Changing Design | 50 MP AI Camera,"Rs. 30,499",4.6,Free Delivery,88,99
93,"Xiaomi Redmi Note 12 RAM 8 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 51,999",5,Free Delivery,93,86
94,"Nokia C31 Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 128GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved","Rs. 33,999",4.2,Free Delivery,91,100
95,"Redmi A1 Plus - 6.52"" Inch Display - 2GB RAM - 32GB ROM","Rs. 19,990",4.7,Free Delivery,85,79
96,"Xiaomi Redmi 12 , 8GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 43,699",5,Free Delivery,89,49
97,"Infinix Note 30 - 8GB RAM 128/256GB ROM - 6.78"" FHD+ Eye-care Display with 120Hz Dynamic Refresh Rate","Rs. 47,499",5,Free Delivery,89,92
98,Infinix Note 30 - 8GB RAM 256GB ROM - 6.78 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 48,999",5,Free Delivery,91,84
99,"Redmi A2 Plus , 3GB RAM 64GB ROM , 8MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 21,999",5,Free Delivery,New Seller,34
100,"Redmi 12 , 8GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 43,999",4.5,Free Delivery,87,25
101,"Realme C33 , 4GB RAM 64GB ROM , Fingersensor , BackCamera 50MP , 5000mAh Battery","Rs. 30,999",4.4,Standard Delivery,94,72
102,"Infinix Hot 30 Play - 6.82"" Inch Display - 4GB RAM - 64GB / 12GB ROM","Rs. 29,899",4.6,Free Delivery,85,79
103,Infinix Hot 30 8GB Ram 128GB Memory,"Rs. 35,989",4.5,Standard Delivery,95,92
104,"Samsung Galaxy A04s , 4GB Ram 128GB Rom , 6.5 Inches IPS Display 90Hz , 5000 mAh- Fast charging 15W","Rs. 39,799",4,Free Delivery,90,68
105,Samsung Galaxy A14 - 6GB ROM 128 GB - PTA Approved 1 Year Official Warranty,"Rs. 57,499",4.9,Standard Delivery,93,77
106,"Vivo Y36 ROM 8 GB ROM 128 GB Front Camera 16 MP Back Camera 50 MP + 2 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 62,480",4.8,Free Delivery,95,92
